surface	layer	owner_or_symbol	primary_consumers	lock	planned_action	preparation_status
enum	ast-kind	src/frontend/parser/xast_types.h:AST_ENUM_DECL,AST_ENUM_MEMBER	xast_nodes.h,xast.c,xast_api.h,xast_walk.c,xcanon.c	LOCK-FRONTEND	add one dedicated enum construct kind and migrate all AST infrastructure	missing AST_ENUM_CONSTRUCT confirmed
enum	declaration-ast	src/frontend/parser/xast_nodes_decl.h:EnumMemberNode.payload_names	parser,formatter,analyzer,mono,IR metadata	LOCK-FRONTEND	make every payload name nonempty and owned	NULL positional contract confirmed
enum	pattern-ast	src/frontend/parser/xast_nodes_stmt.h:PatternAdtNode	match parser,pattern analyzer,formatter,Xi lowerer	LOCK-FRONTEND	replace positional arrays with named selective fields	positional owner confirmed
enum	declaration-parser	src/frontend/parser/xparse_oop.c:parse_enum_variant_payload	enum declaration and formatter fixtures	LOCK-FRONTEND	replace parentheses with named record fields and delete old branch	legacy owner confirmed
enum	method-parser	src/frontend/parser/xparse_oop.c:parse_enum_method	enum method AST and formatter	LOCK-FRONTEND	consume released Task 284 receiver contract and delete enum fn surface	legacy owner confirmed
enum	pattern-parser	src/frontend/parser/xparse_match.c:expr_to_adt_pattern	match and catch patterns	LOCK-FRONTEND	parse named ADT pattern directly and delete call rewrite	legacy rewrite confirmed
enum	expression-parser	src/frontend/parser/xparse.c,xparse_decl.c	member path and expression parsing	LOCK-FRONTEND	produce dedicated construct AST without whitespace or line heuristics	shared hotspot confirmed
enum	call-analyzer	src/frontend/analyzer/xanalyzer_visitor_call.c:xa_call_payload_enum_variant,xa_check_payload_enum_variant_call	call inference and ownership	LOCK-FRONTEND	move exact field-set checks to enum construct plan and delete call special case	legacy owner confirmed
enum	inference-flag	src/frontend/analyzer/xanalyzer_infer.h:allow_payload_enum_ctor_value	xanalyzer_visitor_call.c,xanalyzer_visitor_expr.c	LOCK-FRONTEND	delete flag after dedicated construct cut	6 hits in 3 files
enum	pattern-analyzer	src/frontend/analyzer/xanalyzer_visitor_pattern.c	match exhaustiveness and bindings	LOCK-FRONTEND	resolve selected names once to canonical slots	positional consumer confirmed
enum	pattern-ast-walker	src/frontend/analyzer/xanalyzer_ast_visitor.c:AST_PATTERN_ADT	analyzer AST traversal	LOCK-FRONTEND	walk named pattern fields and delete positional-only traversal	positional consumer confirmed
enum	enum-symbol	src/frontend/analyzer/xanalyzer_symbol.h:XaEnumVariantInfo	xanalyzer_symbol.c,mono,metadata builders	LOCK-FRONTEND	own stable field names; audit shallow clone	name ownership risk confirmed
enum	runtime-layout	src/runtime/value/xenum_layout.h:XrEnumVariantLayout	xenum_layout.c,module codec,reflection	LOCK-RUNTIME	reject absent,empty,duplicate names instead of normalizing to empty text	empty-name fallback confirmed
enum	module-codec	src/module/xproto_codec.c	module serializer and loader	LOCK-SCHEMA	encode canonical names and fail closed on empty,duplicate,count mismatch	legacy permissive codec confirmed
enum	ir-metadata	src/ir/xi_module.h:XiEnumMemberData	xi_lower_misc.c,xi_semantic_snapshot.c	LOCK-SCHEMA	consume canonical declaration-order schema	consumer confirmed
enum	ir-constructor	src/ir/xi_lower_expr.c:lower_call_is_payload_enum_constructor	Xi construction and result ownership	LOCK-SCHEMA	consume enum construct plan and delete CallExpr recognition	legacy owner confirmed
enum	semantic-schema	src/plan/semantic/xr_semantic_builder.c:add_enum_metadata	xr_semantic_enum_shape.h,semantic verifier	LOCK-SCHEMA	publish one EnumVariantSchema and remove enum-v2 empty-name fallback	schema gap confirmed
enum	psc	src/frontend/analyzer/xa_program_semantic_closure.*,src/plan/semantic/xr_semantic_plan.h	Xi binding and TargetPlan	LOCK-SCHEMA	add stable enum,variant,field identity only with train allocation	no named enum schema exists
enum	target-contract	XR_TARGET_CALL_CONVENTION_ADT_ENUM_CONSTRUCTOR,XR_TARGET_CALL_TARGET_ADT_ENUM_CONSTRUCTOR	target builder,verifier,AOT emission	LOCK-SCHEMA	retain ABI identities and feed canonical operands	retained consumer not residue
enum	vm-aot	src/vm/xvm_dispatch_enum.inc.c,src/aot/emit_c/xr_c_emission_plan.c,src/aot/xi_cgen.c,src/aot/xaot_bundle.c	VM and generated C	LOCK-SCHEMA	consume one verified slot contract; do not resolve names at runtime	consumer set confirmed
enum	formatter	src/frontend/format/xfmt_decl.c,xfmt_expr.c	one-time migration,LSP format	LOCK-FRONTEND	emit record declarations,constructors,selective patterns and enum methods without fn	legacy output confirmed
enum	builtin-source	stdlib/prelude/builtin_symbols.def:XR_BUILTIN_ENUM_VARIANT	analyzer prelude,builtin_symbols.py,API inventory	LOCK-BUILD-GEN	add canonical field names once and regenerate consumers	two-argument macro gap confirmed
enum	generated-native	scripts/embed_native_types.py	src/frontend/analyzer/xnative_type_defs.inc.c	LOCK-BUILD-GEN	regenerate; never hand-edit output	generated boundary confirmed
enum	api-inventory	scripts/gen_api_inventory.py	MCP and public API projections	LOCK-BUILD-GEN	preserve field names in enum signatures	current discard confirmed
enum	spec-source	spec/source/sections/006-5-declarations.md,007-6-patterns.md,009-8-error-handling.md,020-appendix-a-ebnf.md	LANGUAGE_SPEC*,docs/knowledge,MCP	LOCK-BUILD-GEN	edit bilingual source then regenerate projections	manual-source boundary confirmed
where	keyword	src/frontend/lexer/xkeywords.def:TK_WHERE	xlex.h,xlex.c,LSP tokenization	LOCK-FRONTEND	delete keyword so where becomes TK_NAME	legacy owner confirmed
where	parser	src/frontend/parser/xparse_type.c:xr_parse_where_clause	xparse_decl.c,xparse_oop.c,xparse_internal.h	LOCK-FRONTEND	migrate constraints inline and delete every attachment	legacy owner confirmed
where	spec-source	spec/source/sections/010-9-generics.md,020-appendix-a-ebnf.md	generated language docs and MCP	LOCK-BUILD-GEN	remove trailing-clause grammar and regenerate	projection boundary confirmed
match-comma	parser-state	src/frontend/parser/xparse.h:Parser.match_arm_body_depth	xparse.c,xparse_match.c	LOCK-FRONTEND	delete state and token/newline arm-boundary heuristic	legacy owner confirmed
match-comma	parser-heuristic	src/frontend/parser/xparse.c:line_break_ends_expr	TK_IS pattern boundary	LOCK-FRONTEND	delete match-specific branch after comma cut	legacy owner confirmed
